geoid,name,B19001001,"B19001001, Error",B19001002,"B19001002, Error",B19001003,"B19001003, Error",B19001004,"B19001004, Error",B19001005,"B19001005, Error",B19001006,"B19001006, Error",B19001007,"B19001007, Error",B19001008,"B19001008, Error",B19001009,"B19001009, Error",B19001010,"B19001010, Error",B19001011,"B19001011, Error",B19001012,"B19001012, Error",B19001013,"B19001013, Error",B19001014,"B19001014, Error",B19001015,"B19001015, Error",B19001016,"B19001016, Error",B19001017,"B19001017, Error"
86000US37013,37013,35597,617,1424,311,1023,239,1197,263,1751,399,1647,343,1685,323,1748,348,1937,385,1748,338,3956,497,4510,407,5507,593,3547,574,1703,368,1212,306,1002,326
86000US37015,37015,6673,279,421,164,256,101,115,60,415,147,365,108,452,135,350,109,277,105,323,120,719,177,903,194,903,186,639,160,294,98,157,71,84,42
86000US37027,37027,19950,382,460,166,173,94,246,97,250,95,254,84,250,95,316,102,538,153,472,160,597,143,1235,212,1861,246,2167,255,1688,201,2837,295,6606,323
86000US37062,37062,4040,188,119,53,122,54,138,71,140,59,123,80,124,63,121,70,216,86,140,67,329,104,569,146,645,146,468,121,342,86,286,82,158,55
86000US37064,37064,21640,472,771,259,302,127,623,192,512,187,609,210,630,192,721,216,495,138,567,172,1479,228,1784,243,2293,333,2338,341,2265,353,2394,306,3857,296
86000US37072,37072,12533,464,534,179,412,144,456,146,674,214,687,231,506,153,518,139,568,157,544,171,1095,262,1311,278,2186,286,1120,217,784,172,652,148,486,132
86000US37073,37073,5425,262,233,116,151,102,169,86,236,136,290,115,325,122,282,127,184,87,288,103,549,143,557,144,698,164,620,143,262,81,399,148,182,71
86000US37075,37075,24275,559,743,173,422,134,553,161,687,167,682,168,986,278,1058,292,948,198,1011,202,2052,342,3003,422,3497,379,2271,292,2203,287,2004,261,2155,268
86000US37076,37076,17389,393,698,233,405,204,626,200,496,177,946,268,740,195,912,224,662,196,918,205,1445,259,2146,359,2648,376,1709,279,1167,183,1193,238,678,146
86000US37080,37080,3012,190,112,59,119,52,254,110,131,74,188,94,107,63,225,96,101,58,92,58,264,97,262,75,384,100,263,96,161,62,161,70,188,91
86000US37082,37082,2326,165,90,76,114,99,115,87,85,50,72,48,67,55,169,91,52,38,62,44,117,73,248,89,439,117,218,104,158,70,188,65,132,52
86000US37086,37086,10545,385,215,104,320,155,394,142,257,105,483,157,396,144,466,171,690,208,579,208,1010,204,1692,319,1717,264,1276,230,401,126,257,96,392,144
86000US37115,37115,16510,399,813,221,948,240,941,209,1147,278,1209,248,997,220,1102,280,847,205,1070,303,1660,321,1848,314,1966,321,1039,247,314,107,329,120,280,100
86000US37122,37122,20912,472,648,222,369,164,328,111,507,143,673,228,441,178,581,151,652,204,553,176,1170,239,2073,353,3557,418,2533,331,2159,357,2600,345,2068,321
86000US37135,37135,4476,289,56,61,0,19,44,34,18,22,82,82,45,43,232,136,48,47,80,49,154,104,432,142,507,140,501,120,565,175,855,147,857,208
86000US37138,37138,9264,305,331,137,242,130,218,94,348,157,411,214,299,100,312,114,675,205,308,144,689,194,1155,265,1535,255,962,188,678,176,687,177,414,134
86000US37143,37143,1552,148,80,53,21,26,26,23,56,48,43,33,72,42,54,35,54,45,36,35,164,76,215,76,282,71,149,63,163,93,77,46,60,33
86000US37189,37189,1509,165,52,44,1,5,85,67,51,32,27,23,41,28,72,40,29,25,80,67,113,70,185,78,281,108,171,70,144,70,99,72,78,52
86000US37201,37201,526,165,62,73,0,12,0,12,0,12,18,28,0,12,0,12,41,51,0,12,37,44,90,76,104,72,18,27,0,12,89,64,67,77
86000US37203,37203,8726,460,1222,266,492,199,313,125,348,118,242,100,245,108,233,100,318,118,339,103,938,215,916,263,1154,266,560,193,338,176,340,129,728,231
86000US37204,37204,5962,272,274,86,85,47,127,49,164,69,215,87,227,103,276,101,218,79,246,109,231,94,527,131,691,145,626,134,468,120,488,99,1099,170
86000US37205,37205,10778,327,280,138,249,120,282,108,170,62,139,64,402,149,183,100,317,141,281,135,607,178,586,157,1444,240,1297,242,704,156,981,204,2856,279
86000US37206,37206,11550,419,959,197,643,201,524,189,694,223,395,123,432,178,496,169,372,152,354,131,950,228,1087,238,1194,246,1017,226,653,179,1008,240,772,188
86000US37207,37207,14909,437,1493,283,850,264,776,233,991,267,1017,230,897,245,970,269,810,209,689,216,923,238,1711,310,1733,275,814,198,718,219,347,103,170,87
86000US37208,37208,7974,438,1352,298,576,215,432,178,498,124,371,124,450,148,310,110,288,112,260,115,604,205,488,147,831,229,385,122,279,118,498,142,352,128
86000US37209,37209,15884,489,1366,358,853,233,577,184,666,207,775,227,653,163,468,137,928,253,808,218,1309,257,1591,256,1850,314,1402,228,879,190,792,153,967,225
86000US37210,37210,6967,303,1135,202,342,95,464,147,679,162,397,128,331,111,355,174,258,87,181,76,567,146,563,162,690,160,379,143,223,87,173,72,230,116
86000US37211,37211,29450,640,1449,301,1148,245,1226,274,1235,244,1743,297,1361,257,1739,323,1412,241,1408,272,2717,375,3096,390,4370,462,2382,385,1676,276,1382,257,1106,197
86000US37212,37212,6957,319,417,127,249,98,324,146,416,193,204,98,362,113,258,103,361,143,167,74,580,201,398,149,781,180,423,122,453,187,651,204,913,158
86000US37213,37213,22,26,0,12,0,12,0,12,0,12,0,12,12,20,0,12,0,12,0,12,0,12,0,12,10,17,0,12,0,12,0,12,0,12
86000US37214,37214,13894,339,497,149,358,112,581,194,370,113,604,199,824,261,597,140,707,179,711,205,1554,259,2011,324,2109,341,1417,248,563,181,620,170,371,146
86000US37215,37215,9998,340,243,96,179,85,236,126,186,97,146,62,482,191,188,106,233,108,341,126,347,132,595,162,907,202,753,205,837,175,1288,238,3037,266
