Zip,total,none,perc_none,n_4,perc_n_4,n_4_orless,perc_n_4_orless,5_6,perc_5_6,5_6_orless,perc_5_6_orless,7_8,perc_7_8,7_8_orless,perc_7_8_orless,9,perc_9,9_orless,perc_9_orless,10,perc_10,10_orless,perc_10_orless,11,perc_11,11_orless,perc_11_orless,12,perc_12,12_orless,perc_12_orless,perc_hs_grad_ormore,hs_grad,perc_hs_grad,hs_grad_orless,perc_hs_grad_orless,col_<1,perc_col_<1,col_<1_orless,perc_col_<1_orless,col_>1,perc_col_>1,col_>1_orless,perc_col_>1_orless,perc_associate_ormore,associate,perc_associate,associate_orless,perc_associate_orless,bachelor,perc_bachelor,bachelor_orless,perc_bachelor_orless,master,perc_master,master_orless,perc_master_orless,professional,perc_professional,professional_orless,perc_professional_orless,doctorate,perc_doctorate,doctorate_orless,perc_doctorate_orless
37013,62355,1822,2.92,355,0.57,2177,3.49,951,1.53,3128,5.02,705,1.13,3833,6.15,821,1.32,4654,7.46,894,1.43,5548,8.9,638,1.02,6186,9.92,1386,2.22,7572,12.14,87.86,15971,25.61,23543,37.76,3147,5.05,26690,42.8,9466,15.18,36156,57.98,42.02,5652,9.06,41808,67.05,14323,22.97,56131,90.02,4860,7.79,60991,97.81,1055,1.69,62046,99.5,309,0.5,62355,100
37027,36625,112,0.31,11,0.03,123,0.34,37,0.1,160,0.44,139,0.38,299,0.82,72,0.2,371,1.01,105,0.29,476,1.3,47,0.13,523,1.43,129,0.35,652,1.78,98.22,2744,7.49,3396,9.27,1215,3.32,4611,12.59,2887,7.88,7498,20.47,79.53,1693,4.62,9191,25.09,16139,44.07,25330,69.16,7717,21.07,33047,90.23,2137,5.83,35184,96.07,1441,3.93,36625,100
37069,13385,23,0.17,0,0,23,0.17,10,0.07,33,0.25,39,0.29,72,0.54,0,0,72,0.54,9,0.07,81,0.61,24,0.18,105,0.78,89,0.66,194,1.45,98.55,1048,7.83,1242,9.28,504,3.77,1746,13.04,1419,10.6,3165,23.65,76.35,615,4.59,3780,28.24,5901,44.09,9681,72.33,2514,18.78,12195,91.11,750,5.6,12945,96.71,440,3.29,13385,100
37072,22679,256,1.13,68,0.3,324,1.43,161,0.71,485,2.14,353,1.56,838,3.7,259,1.14,1097,4.84,306,1.35,1403,6.19,426,1.88,1829,8.06,427,1.88,2256,9.95,90.05,6735,29.7,8991,39.64,1947,8.59,10938,48.23,3424,15.1,14362,63.33,36.67,1801,7.94,16163,71.27,4367,19.26,20530,90.52,1491,6.57,22021,97.1,360,1.59,22381,98.69,298,1.31,22679,100
37076,28788,272,0.94,141,0.49,413,1.43,110,0.38,523,1.82,60,0.21,583,2.03,377,1.31,960,3.33,403,1.4,1363,4.73,399,1.39,1762,6.12,433,1.5,2195,7.62,92.38,6816,23.68,9011,31.3,1855,6.44,10866,37.74,4458,15.49,15324,53.23,46.77,2649,9.2,17973,62.43,7658,26.6,25631,89.03,2296,7.98,27927,97.01,473,1.64,28400,98.65,388,1.35,28788,100
37080,5643,141,2.5,0,0,141,2.5,57,1.01,198,3.51,101,1.79,299,5.3,205,3.63,504,8.93,305,5.4,809,14.34,262,4.64,1071,18.98,120,2.13,1191,21.11,78.89,1911,33.86,3102,54.97,336,5.95,3438,60.93,757,13.41,4195,74.34,25.66,375,6.65,4570,80.99,669,11.86,5239,92.84,258,4.57,5497,97.41,86,1.52,5583,98.94,60,1.06,5643,100
37115,27433,633,2.31,344,1.25,977,3.56,565,2.06,1542,5.62,604,2.2,2146,7.82,696,2.54,2842,10.36,595,2.17,3437,12.53,1001,3.65,4438,16.18,576,2.1,5014,18.28,81.72,9319,33.97,14333,52.25,1676,6.11,16009,58.36,4258,15.52,20267,73.88,26.12,1966,7.17,22233,81.04,3425,12.48,25658,93.53,1417,5.17,27075,98.7,238,0.87,27313,99.56,120,0.44,27433,100
37138,17007,136,0.8,16,0.09,152,0.89,30,0.18,182,1.07,439,2.58,621,3.65,126,0.74,747,4.39,261,1.53,1008,5.93,525,3.09,1533,9.01,265,1.56,1798,10.57,89.43,4208,24.74,6006,35.31,1195,7.03,7201,42.34,2458,14.45,9659,56.79,43.21,1403,8.25,11062,65.04,4155,24.43,15217,89.47,1172,6.89,16389,96.37,407,2.39,16796,98.76,211,1.24,17007,100
37189,3139,0,0,0,0,0,0,14,0.45,14,0.45,22,0.7,36,1.15,20,0.64,56,1.78,24,0.76,80,2.55,36,1.15,116,3.7,69,2.2,185,5.89,94.11,859,27.37,1044,33.26,184,5.86,1228,39.12,487,15.51,1715,54.64,45.36,225,7.17,1940,61.8,717,22.84,2657,84.64,317,10.1,2974,94.74,107,3.41,3081,98.15,58,1.85,3139,100
37201,1257,0,0,0,0,0,0,17,1.35,17,1.35,38,3.02,55,4.38,15,1.19,70,5.57,48,3.82,118,9.39,24,1.91,142,11.3,1,0.08,143,11.38,88.62,245,19.49,388,30.87,99,7.88,487,38.74,202,16.07,689,54.81,45.19,28,2.23,717,57.04,467,37.15,1184,94.19,37,2.94,1221,97.14,18,1.43,1239,98.57,18,1.43,1257,100
37203,11223,46,0.41,26,0.23,72,0.64,0,0,72,0.64,89,0.79,161,1.43,184,1.64,345,3.07,150,1.34,495,4.41,306,2.73,801,7.14,217,1.93,1018,9.07,90.93,1397,12.45,2415,21.52,471,4.2,2886,25.72,1222,10.89,4108,36.6,63.4,423,3.77,4531,40.37,3730,33.24,8261,73.61,1858,16.56,10119,90.16,623,5.55,10742,95.71,481,4.29,11223,100
37204,9905,63,0.64,6,0.06,69,0.7,20,0.2,89,0.9,6,0.06,95,0.96,65,0.66,160,1.62,82,0.83,242,2.44,143,1.44,385,3.89,38,0.38,423,4.27,95.73,696,7.03,1119,11.3,219,2.21,1338,13.51,988,9.97,2326,23.48,76.52,505,5.1,2831,28.58,4207,42.47,7038,71.06,1888,19.06,8926,90.12,663,6.69,9589,96.81,316,3.19,9905,100
37205,18164,9,0.05,62,0.34,71,0.39,0,0,71,0.39,52,0.29,123,0.68,56,0.31,179,0.99,52,0.29,231,1.27,51,0.28,282,1.55,50,0.28,332,1.83,98.17,1220,6.72,1552,8.54,542,2.98,2094,11.53,1700,9.36,3794,20.89,79.11,724,3.99,4518,24.87,7252,39.93,11770,64.8,3385,18.64,15155,83.43,1889,10.4,17044,93.83,1120,6.17,18164,100
37206,18741,241,1.29,27,0.14,268,1.43,76,0.41,344,1.84,222,1.18,566,3.02,216,1.15,782,4.17,323,1.72,1105,5.9,405,2.16,1510,8.06,157,0.84,1667,8.89,91.11,3683,19.65,5350,28.55,1135,6.06,6485,34.6,2579,13.76,9064,48.36,51.64,786,4.19,9850,52.56,5868,31.31,15718,83.87,2119,11.31,17837,95.18,576,3.07,18413,98.25,328,1.75,18741,100
