Zip,total,none,perc_none,n_4,perc_n_4,n_4_orless,perc_n_4_orless,5_6,perc_5_6,5_6_orless,perc_5_6_orless,7_8,perc_7_8,7_8_orless,perc_7_8_orless,9,perc_9,9_orless,perc_9_orless,10,perc_10,10_orless,perc_10_orless,11,perc_11,11_orless,perc_11_orless,12,perc_12,12_orless,perc_12_orless,perc_hs_grad_ormore,hs_grad,perc_hs_grad,hs_grad_orless,perc_hs_grad_orless,col_<1,perc_col_<1,col_<1_orless,perc_col_<1_orless,col_>1,perc_col_>1,col_>1_orless,perc_col_>1_orless,perc_associate_ormore,associate,perc_associate,associate_orless,perc_associate_orless,bachelor,perc_bachelor,bachelor_orless,perc_bachelor_orless,master,perc_master,master_orless,perc_master_orless,professional,perc_professional,professional_orless,perc_professional_orless,doctorate,perc_doctorate,doctorate_orless,perc_doctorate_orless
37010,3247,0,0,0,0,0,0,1,0.03,1,0.03,102,3.14,103,3.17,47,1.45,150,4.62,29,0.89,179,5.51,25,0.77,204,6.28,61,1.88,265,8.16,91.84,819,25.22,1084,33.38,252,7.76,1336,41.15,674,20.76,2010,61.9,38.10,238,7.33,2248,69.23,543,16.72,2791,85.96,390,12.01,3181,97.97,47,1.45,3228,99.41,19,0.59,3247,100
37012,1675,11,0.66,2,0.12,13,0.78,0,0,13,0.78,83,4.96,96,5.73,56,3.34,152,9.07,51,3.04,203,12.12,49,2.93,252,15.04,36,2.15,288,17.19,82.81,789,47.1,1077,64.3,117,6.99,1194,71.28,204,12.18,1398,83.46,16.54,114,6.81,1512,90.27,144,8.6,1656,98.87,15,0.9,1671,99.76,0,0,1671,99.76,4,0.24,1675,100
37013,62355,1822,2.92,355,0.57,2177,3.49,951,1.53,3128,5.02,705,1.13,3833,6.15,821,1.32,4654,7.46,894,1.43,5548,8.9,638,1.02,6186,9.92,1386,2.22,7572,12.14,87.86,15971,25.61,23543,37.76,3147,5.05,26690,42.8,9466,15.18,36156,57.98,42.02,5652,9.06,41808,67.05,14323,22.97,56131,90.02,4860,7.79,60991,97.81,1055,1.69,62046,99.5,309,0.5,62355,100
37014,2012,9,0.45,0,0,9,0.45,0,0,9,0.45,7,0.35,16,0.8,11,0.55,27,1.34,14,0.7,41,2.04,45,2.24,86,4.27,81,4.03,167,8.3,91.70,364,18.09,531,26.39,93,4.62,624,31.01,213,10.59,837,41.6,58.40,102,5.07,939,46.67,704,34.99,1643,81.66,273,13.57,1916,95.23,42,2.09,1958,97.32,54,2.68,2012,100
37015,12590,79,0.63,31,0.25,110,0.87,78,0.62,188,1.49,462,3.67,650,5.16,336,2.67,986,7.83,313,2.49,1299,10.32,486,3.86,1785,14.18,205,1.63,1990,15.81,84.19,5081,40.36,7071,56.16,908,7.21,7979,63.38,1636,12.99,9615,76.37,23.63,787,6.25,10402,82.62,1488,11.82,11890,94.44,480,3.81,12370,98.25,104,0.83,12474,99.08,116,0.92,12590,100
37016,746,0,0,2,0.27,2,0.27,0,0,2,0.27,36,4.83,38,5.09,1,0.13,39,5.23,42,5.63,81,10.86,24,3.22,105,14.08,0,0,105,14.08,85.92,348,46.65,453,60.72,51,6.84,504,67.56,42,5.63,546,73.19,26.81,67,8.98,613,82.17,86,11.53,699,93.7,37,4.96,736,98.66,0,0,736,98.66,10,1.34,746,100
37020,3815,16,0.42,0,0,16,0.42,23,0.6,39,1.02,26,0.68,65,1.7,74,1.94,139,3.64,3,0.08,142,3.72,127,3.33,269,7.05,65,1.7,334,8.75,91.25,1398,36.64,1732,45.4,372,9.75,2104,55.15,465,12.19,2569,67.34,32.66,283,7.42,2852,74.76,713,18.69,3565,93.45,166,4.35,3731,97.8,64,1.68,3795,99.48,20,0.52,3815,100
37022,4204,65,1.55,0,0,65,1.55,41,0.98,106,2.52,176,4.19,282,6.71,96,2.28,378,8.99,268,6.37,646,15.37,131,3.12,777,18.48,153,3.64,930,22.12,77.88,1472,35.01,2402,57.14,547,13.01,2949,70.15,581,13.82,3530,83.97,16.03,281,6.68,3811,90.65,322,7.66,4133,98.31,64,1.52,4197,99.83,7,0.17,4204,100,0,0,4204,100
37025,3894,21,0.54,61,1.57,82,2.11,65,1.67,147,3.78,56,1.44,203,5.21,111,2.85,314,8.06,257,6.6,571,14.66,61,1.57,632,16.23,94,2.41,726,18.64,81.36,1749,44.92,2475,63.56,189,4.85,2664,68.41,525,13.48,3189,81.9,18.10,173,4.44,3362,86.34,366,9.4,3728,95.74,153,3.93,3881,99.67,0,0,3881,99.67,13,0.33,3894,100
37026,1648,23,1.4,0,0,23,1.4,0,0,23,1.4,65,3.94,88,5.34,0,0,88,5.34,53,3.22,141,8.56,103,6.25,244,14.81,76,4.61,320,19.42,80.58,791,48,1111,67.42,57,3.46,1168,70.87,187,11.35,1355,82.22,17.78,127,7.71,1482,89.93,137,8.31,1619,98.24,29,1.76,1648,100,0,0,1648,100,0,0,1648,100
37027,36625,112,0.31,11,0.03,123,0.34,37,0.1,160,0.44,139,0.38,299,0.82,72,0.2,371,1.01,105,0.29,476,1.3,47,0.13,523,1.43,129,0.35,652,1.78,98.22,2744,7.49,3396,9.27,1215,3.32,4611,12.59,2887,7.88,7498,20.47,79.53,1693,4.62,9191,25.09,16139,44.07,25330,69.16,7717,21.07,33047,90.23,2137,5.83,35184,96.07,1441,3.93,36625,100
37029,5037,38,0.75,5,0.1,43,0.85,44,0.87,87,1.73,25,0.5,112,2.22,50,0.99,162,3.22,110,2.18,272,5.4,160,3.18,432,8.58,36,0.71,468,9.29,90.71,1831,36.35,2299,45.64,300,5.96,2599,51.6,794,15.76,3393,67.36,32.64,403,8,3796,75.36,857,17.01,4653,92.38,259,5.14,4912,97.52,108,2.14,5020,99.66,17,0.34,5037,100
37030,4894,60,1.23,13,0.27,73,1.49,14,0.29,87,1.78,350,7.15,437,8.93,128,2.62,565,11.54,138,2.82,703,14.36,129,2.64,832,17,77,1.57,909,18.57,81.43,2373,48.49,3282,67.06,272,5.56,3554,72.62,395,8.07,3949,80.69,19.31,329,6.72,4278,87.41,407,8.32,4685,95.73,170,3.47,4855,99.2,6,0.12,4861,99.33,33,0.67,4894,100
37031,3147,49,1.56,12,0.38,61,1.94,98,3.11,159,5.05,66,2.1,225,7.15,13,0.41,238,7.56,61,1.94,299,9.5,78,2.48,377,11.98,78,2.48,455,14.46,85.54,1212,38.51,1667,52.97,231,7.34,1898,60.31,437,13.89,2335,74.2,25.80,258,8.2,2593,82.4,374,11.88,2967,94.28,142,4.51,3109,98.79,38,1.21,3147,100,0,0,3147,100
37032,3502,28,0.8,36,1.03,64,1.83,28,0.8,92,2.63,170,4.85,262,7.48,168,4.8,430,12.28,136,3.88,566,16.16,7,0.2,573,16.36,54,1.54,627,17.9,82.10,1222,34.89,1849,52.8,172,4.91,2021,57.71,346,9.88,2367,67.59,32.41,314,8.97,2681,76.56,600,17.13,3281,93.69,204,5.83,3485,99.51,0,0,3485,99.51,17,0.49,3502,100
37035,2258,19,0.84,0,0,19,0.84,0,0,19,0.84,40,1.77,59,2.61,77,3.41,136,6.02,72,3.19,208,9.21,121,5.36,329,14.57,37,1.64,366,16.21,83.79,860,38.09,1226,54.3,157,6.95,1383,61.25,287,12.71,1670,73.96,26.04,164,7.26,1834,81.22,245,10.85,2079,92.07,130,5.76,2209,97.83,28,1.24,2237,99.07,21,0.93,2258,100
37036,4163,84,2.02,42,1.01,126,3.03,2,0.05,128,3.07,182,4.37,310,7.45,244,5.86,554,13.31,201,4.83,755,18.14,199,4.78,954,22.92,70,1.68,1024,24.6,75.40,2072,49.77,3096,74.37,210,5.04,3306,79.41,235,5.64,3541,85.06,14.94,190,4.56,3731,89.62,317,7.61,4048,97.24,69,1.66,4117,98.9,8,0.19,4125,99.09,38,0.91,4163,100
37037,5357,19,0.35,0,0,19,0.35,19,0.35,38,0.71,71,1.33,109,2.03,40,0.75,149,2.78,46,0.86,195,3.64,158,2.95,353,6.59,133,2.48,486,9.07,90.93,1981,36.98,2467,46.05,446,8.33,2913,54.38,652,12.17,3565,66.55,33.45,453,8.46,4018,75,1012,18.89,5030,93.9,180,3.36,5210,97.26,89,1.66,5299,98.92,58,1.08,5357,100
37043,32535,165,0.51,0,0,165,0.51,32,0.1,197,0.61,274,0.84,471,1.45,95,0.29,566,1.74,186,0.57,752,2.31,310,0.95,1062,3.26,349,1.07,1411,4.34,95.66,9121,28.03,10532,32.37,2137,6.57,12669,38.94,4364,13.41,17033,52.35,47.65,2761,8.49,19794,60.84,8092,24.87,27886,85.71,3388,10.41,31274,96.12,583,1.79,31857,97.92,678,2.08,32535,100
37046,3899,0,0,0,0,0,0,10,0.26,10,0.26,0,0,10,0.26,0,0,10,0.26,31,0.8,41,1.05,53,1.36,94,2.41,82,2.1,176,4.51,95.49,885,22.7,1061,27.21,255,6.54,1316,33.75,580,14.88,1896,48.63,51.37,186,4.77,2082,53.4,1103,28.29,3185,81.69,512,13.13,3697,94.82,167,4.28,3864,99.1,35,0.9,3899,100
37048,4621,57,1.23,32,0.69,89,1.93,0,0,89,1.93,68,1.47,157,3.4,52,1.13,209,4.52,121,2.62,330,7.14,124,2.68,454,9.82,75,1.62,529,11.45,88.55,1697,36.72,2226,48.17,353,7.64,2579,55.81,675,14.61,3254,70.42,29.58,352,7.62,3606,78.04,728,15.75,4334,93.79,224,4.85,4558,98.64,55,1.19,4613,99.83,8,0.17,4621,100
37049,2426,24,0.99,7,0.29,31,1.28,13,0.54,44,1.81,54,2.23,98,4.04,47,1.94,145,5.98,80,3.3,225,9.27,61,2.51,286,11.79,20,0.82,306,12.61,87.39,1056,43.53,1362,56.14,213,8.78,1575,64.92,300,12.37,1875,77.29,22.71,164,6.76,2039,84.05,315,12.98,2354,97.03,50,2.06,2404,99.09,8,0.33,2412,99.42,14,0.58,2426,100
37051,2605,9,0.35,9,0.35,18,0.69,0,0,18,0.69,120,4.61,138,5.3,15,0.58,153,5.87,21,0.81,174,6.68,43,1.65,217,8.33,43,1.65,260,9.98,90.02,1192,45.76,1452,55.74,323,12.4,1775,68.14,232,8.91,2007,77.04,22.96,175,6.72,2182,83.76,223,8.56,2405,92.32,170,6.53,2575,98.85,17,0.65,2592,99.5,13,0.5,2605,100
37055,19083,193,1.01,137,0.72,330,1.73,49,0.26,379,1.99,507,2.66,886,4.64,333,1.75,1219,6.39,799,4.19,2018,10.57,562,2.95,2580,13.52,267,1.4,2847,14.92,85.08,7648,40.08,10495,55,1607,8.42,12102,63.42,2575,13.49,14677,76.91,23.09,1222,6.4,15899,83.31,2030,10.64,17929,93.95,818,4.29,18747,98.24,242,1.27,18989,99.51,94,0.49,19083,100
37057,565,11,1.95,0,0,11,1.95,17,3.01,28,4.96,109,19.29,137,24.25,0,0,137,24.25,9,1.59,146,25.84,0,0,146,25.84,0,0,146,25.84,74.16,262,46.37,408,72.21,16,2.83,424,75.04,41,7.26,465,82.3,17.70,93,16.46,558,98.76,7,1.24,565,100,0,0,565,100,0,0,565,100,0,0,565,100
37060,2008,7,0.35,0,0,7,0.35,20,1,27,1.34,16,0.8,43,2.14,39,1.94,82,4.08,73,3.64,155,7.72,63,3.14,218,10.86,44,2.19,262,13.05,86.95,783,38.99,1045,52.04,68,3.39,1113,55.43,280,13.94,1393,69.37,30.63,120,5.98,1513,75.35,296,14.74,1809,90.09,147,7.32,1956,97.41,8,0.4,1964,97.81,44,2.19,2008,100
37062,7778,194,2.49,9,0.12,203,2.61,69,0.89,272,3.5,153,1.97,425,5.46,169,2.17,594,7.64,196,2.52,790,10.16,111,1.43,901,11.58,222,2.85,1123,14.44,85.56,2056,26.43,3179,40.87,679,8.73,3858,49.6,1063,13.67,4921,63.27,36.73,727,9.35,5648,72.62,1575,20.25,7223,92.86,428,5.5,7651,98.37,66,0.85,7717,99.22,61,0.78,7778,100
37064,40214,177,0.44,100,0.25,277,0.69,484,1.2,761,1.89,354,0.88,1115,2.77,207,0.51,1322,3.29,714,1.78,2036,5.06,352,0.88,2388,5.94,442,1.1,2830,7.04,92.96,6616,16.45,9446,23.49,2060,5.12,11506,28.61,4509,11.21,16015,39.82,60.18,2536,6.31,18551,46.13,13976,34.75,32527,80.88,5520,13.73,38047,94.61,1357,3.37,39404,97.99,810,2.01,40214,100
37066,36538,338,0.93,221,0.6,559,1.53,347,0.95,906,2.48,1026,2.81,1932,5.29,513,1.4,2445,6.69,581,1.59,3026,8.28,684,1.87,3710,10.15,564,1.54,4274,11.7,88.30,10814,29.6,15088,41.29,2636,7.21,17724,48.51,5708,15.62,23432,64.13,35.87,2888,7.9,26320,72.03,6999,19.16,33319,91.19,2517,6.89,35836,98.08,472,1.29,36308,99.37,230,0.63,36538,100
37067,20618,40,0.19,32,0.16,72,0.35,40,0.19,112,0.54,68,0.33,180,0.87,55,0.27,235,1.14,11,0.05,246,1.19,96,0.47,342,1.66,230,1.12,572,2.77,97.23,2196,10.65,2768,13.43,821,3.98,3589,17.41,2297,11.14,5886,28.55,71.45,1166,5.66,7052,34.2,7991,38.76,15043,72.96,4017,19.48,19060,92.44,855,4.15,19915,96.59,703,3.41,20618,100
