,37013,,37027,,37069,,37072,,37076,,37080,,37115,,37138,,37189,,37201,,37203,,37204,,37205,,37206,,37207,,37208,,37209,,37210,,37211,,37212,,37213,,37214,,37215,,37216,,37217,,37218,,37219,,37220,,37221,,37228,
,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error
Total:,100.00%,2.27%,100.00%,1.89%,100.00%,3.83%,100.00%,3.30%,100.00%,2.66%,100.00%,6.72%,100.00%,3.44%,100.00%,3.59%,100.00%,12.01%,100.00%,22.59%,100.00%,7.21%,100.00%,6.24%,100.00%,3.66%,100.00%,4.37%,100.00%,4.00%,100.00%,5.82%,100.00%,4.33%,100.00%,5.72%,100.00%,2.70%,100.00%,6.18%,100.00%,156.58%,100.00%,3.13%,100.00%,4.36%,100.00%,4.99%,100.00%,5.09%,100.00%,5.25%,100.00%,29.17%,100.00%,5.98%,100.00%,2.49%,100.00%,25.89%
Male:,46.76%,1.59%,48.22%,1.32%,47.02%,2.47%,46.44%,2.17%,47.58%,1.91%,52.15%,4.29%,47.48%,2.74%,47.60%,2.30%,40.36%,6.34%,72.71%,18.62%,51.80%,5.11%,46.00%,4.25%,46.21%,2.60%,46.33%,2.67%,44.07%,3.03%,42.83%,4.16%,47.83%,2.93%,48.16%,4.16%,51.50%,1.84%,49.46%,4.77%,100.00%,156.58%,47.18%,2.73%,44.53%,2.57%,49.82%,3.78%,49.76%,2.97%,43.84%,3.79%,56.24%,17.63%,49.09%,3.93%,44.82%,1.69%,37.34%,18.26%
No schooling completed,1.29%,0.32%,0.11%,0.15%,0.17%,0.19%,0.48%,0.24%,0.29%,0.21%,1.56%,1.12%,1.29%,0.60%,0.46%,0.42%,0.00%,0.38%,0.00%,0.95%,0.32%,0.29%,0.26%,0.22%,0.00%,0.13%,0.62%,0.37%,1.14%,0.54%,0.48%,0.27%,0.64%,0.32%,1.29%,0.65%,1.37%,0.35%,0.25%,0.38%,0.00%,15.79%,0.31%,0.30%,0.04%,0.07%,0.15%,0.19%,0.79%,0.47%,0.61%,0.49%,0.00%,1.26%,0.00%,0.40%,0.30%,0.22%,0.00%,0.97%
Nursery to 4th grade,0.36%,0.23%,0.03%,0.05%,0.00%,0.17%,0.13%,0.13%,0.29%,0.26%,0.00%,0.30%,0.65%,0.63%,0.00%,0.14%,0.00%,0.38%,0.00%,0.95%,0.16%,0.36%,0.06%,0.08%,0.19%,0.20%,0.14%,0.21%,0.22%,0.19%,0.07%,0.09%,0.28%,0.27%,0.58%,0.51%,0.58%,0.27%,0.07%,0.10%,0.00%,15.79%,0.09%,0.12%,0.04%,0.08%,0.32%,0.29%,0.21%,0.22%,0.00%,0.16%,0.00%,1.26%,0.00%,0.40%,0.23%,0.27%,0.00%,0.97%
5th and 6th grade,0.68%,0.25%,0.06%,0.10%,0.07%,0.12%,0.40%,0.27%,0.28%,0.28%,1.01%,1.05%,1.21%,0.59%,0.09%,0.15%,0.00%,0.38%,1.35%,1.51%,0.00%,0.17%,0.02%,0.04%,0.00%,0.13%,0.19%,0.20%,0.36%,0.26%,0.19%,0.35%,0.21%,0.23%,1.90%,0.99%,1.60%,0.59%,0.00%,0.22%,0.00%,15.79%,0.10%,0.16%,0.04%,0.05%,0.19%,0.21%,0.66%,0.34%,0.67%,0.64%,0.00%,1.26%,0.00%,0.40%,0.00%,0.09%,0.00%,0.97%
7th and 8th grade,0.78%,0.30%,0.29%,0.40%,0.00%,0.17%,0.91%,0.41%,0.05%,0.07%,1.40%,0.90%,1.45%,0.79%,1.26%,0.92%,0.19%,0.38%,3.02%,4.06%,0.69%,0.67%,0.00%,0.19%,0.02%,0.06%,0.30%,0.24%,0.74%,0.45%,0.73%,0.60%,0.94%,0.54%,0.61%,0.50%,1.81%,0.53%,0.15%,0.22%,0.00%,15.79%,0.23%,0.16%,0.10%,0.16%,0.32%,0.38%,2.07%,0.99%,1.46%,0.87%,0.00%,1.26%,0.00%,0.40%,0.19%,0.15%,0.00%,0.97%
9th grade,0.61%,0.25%,0.07%,0.11%,0.00%,0.17%,0.68%,0.44%,0.83%,0.52%,1.63%,1.44%,1.51%,0.58%,0.34%,0.48%,0.41%,0.67%,1.19%,1.99%,1.40%,0.70%,0.41%,0.42%,0.26%,0.28%,0.74%,0.67%,0.65%,0.30%,0.81%,0.72%,0.62%,0.32%,2.18%,0.87%,1.73%,0.48%,0.33%,0.41%,0.00%,15.79%,0.32%,0.30%,0.00%,0.14%,0.74%,0.52%,0.94%,0.52%,0.66%,0.49%,0.00%,1.26%,0.00%,0.40%,0.45%,0.41%,0.00%,0.97%
10th grade,0.69%,0.33%,0.01%,0.02%,0.07%,0.10%,0.73%,0.39%,0.96%,0.45%,2.22%,1.24%,1.01%,0.38%,0.79%,0.44%,0.19%,0.45%,3.82%,1.75%,0.99%,0.84%,0.00%,0.19%,0.12%,0.19%,0.95%,0.61%,0.46%,0.27%,1.09%,0.66%,1.14%,0.52%,1.49%,0.74%,1.16%,0.37%,0.00%,0.22%,0.00%,15.79%,0.98%,0.49%,0.12%,0.14%,1.40%,0.93%,0.92%,0.52%,1.35%,0.74%,0.00%,1.26%,0.16%,0.28%,0.23%,0.19%,8.20%,9.17%
