Zip,Location,Population,Den
37212,"36.133973, -86.801471",18547,6556.46
37201,"36.165550, -86.777679",1167,3602.97
37206,"36.180771, -86.730153",27751,3597.99
37208,"36.178567, -86.805263",15272,3416.62
37219,"36.166457, -86.782946",830,3259.85
37211,"36.066734, -86.722609",64753,3030.86
37203,"36.149926, -86.789227",12781,3025.69
37216,"36.216583, -86.726843",19132,2791.23
37210,"36.149265, -86.732957",16170,1747.7
37207,"36.238944, -86.779883",35744,1712.06
37204,"36.106277, -86.773949",11024,1491.97
37217,"36.113155, -86.667020",28293,1488.46
37205,"36.103877, -86.869505",21861,1412.27
37215,"36.080535, -86.833278",22112,1382.95
37214,"36.197795, -86.673345",26474,1260.43
37209,"36.150239, -86.966459",35081,986.29
37220,"36.068452, -86.793116",6163,797.85
37221,"36.063625, -86.977097",34809,753.76
37218,"36.209917, -86.889939",15079,367.31
37228,"36.196291, -86.803583",1160,
37213,"36.166795, -86.766631",137,188.67
37013,,51343,
37027,,35747,
37069,,16243,
37072,,26386,
37076,,29547,
37080,,7394,
37115,,35192,
37138,,22160,
37189,,2343,
