vacc_date,Zip,count_given,dose_nbr,protocol
12/12/2020,37215,1,1,two-shot
12/14/2020,37205,1,2,two-shot
12/14/2020,37215,1,1,two-shot
12/15/2020,37221,1,1,two-shot
12/16/2020,37215,1,1,two-shot
12/17/2020,37013,16,1,two-shot
12/17/2020,37072,8,1,two-shot
12/17/2020,37076,5,1,two-shot
12/17/2020,37080,2,1,two-shot
12/17/2020,37115,1,1,two-shot
12/17/2020,37138,3,1,two-shot
12/17/2020,37189,2,1,two-shot
12/17/2020,37203,36,1,two-shot
12/17/2020,37204,26,1,two-shot
12/17/2020,37205,54,1,two-shot
12/17/2020,37206,23,1,two-shot
12/17/2020,37207,8,1,two-shot
12/17/2020,37208,12,1,two-shot
12/17/2020,37209,48,1,two-shot
12/17/2020,37210,2,1,two-shot
12/17/2020,37211,14,1,two-shot
12/17/2020,37212,13,1,two-shot
12/17/2020,37214,8,1,two-shot
12/17/2020,37215,55,1,two-shot
12/17/2020,37216,14,1,two-shot
12/17/2020,37217,5,1,two-shot
12/17/2020,37219,3,1,two-shot
12/17/2020,37220,12,1,two-shot
12/17/2020,37221,34,1,two-shot
12/17/2020,,1,1,two-shot
12/18/2020,37013,50,1,two-shot
12/18/2020,37072,31,1,two-shot
12/18/2020,37072,1,2,two-shot
12/18/2020,37076,54,1,two-shot
12/18/2020,37080,4,1,two-shot
12/18/2020,37115,23,1,two-shot
12/18/2020,37138,22,1,two-shot
12/18/2020,37138,1,2,two-shot
12/18/2020,37189,4,1,two-shot
12/18/2020,37201,3,1,two-shot
12/18/2020,37203,177,1,two-shot
12/18/2020,37204,87,1,two-shot
12/18/2020,37204,1,2,two-shot
12/18/2020,37205,252,1,two-shot
12/18/2020,37206,60,1,two-shot
12/18/2020,37207,42,1,two-shot
12/18/2020,37208,59,1,two-shot
12/18/2020,37209,189,1,two-shot
12/18/2020,37210,12,1,two-shot
12/18/2020,37211,74,1,two-shot
12/18/2020,37212,121,1,two-shot
12/18/2020,37212,1,2,two-shot
12/18/2020,37213,1,1,two-shot
12/18/2020,37214,34,1,two-shot
12/18/2020,37215,171,1,two-shot
12/18/2020,37215,1,2,two-shot
12/18/2020,37216,30,1,two-shot
12/18/2020,37217,8,1,two-shot
12/18/2020,37218,13,1,two-shot
12/18/2020,37219,3,1,two-shot
12/18/2020,37220,25,1,two-shot
12/18/2020,37221,136,1,two-shot
12/18/2020,37228,2,1,two-shot
12/18/2020,,7,1,two-shot
12/19/2020,37013,60,1,two-shot
12/19/2020,37072,37,1,two-shot
12/19/2020,37076,55,1,two-shot
12/19/2020,37076,1,2,two-shot
12/19/2020,37080,7,1,two-shot
12/19/2020,37115,17,1,two-shot
12/19/2020,37138,23,1,two-shot
12/19/2020,37189,10,1,two-shot
12/19/2020,37201,3,1,two-shot
12/19/2020,37203,146,1,two-shot
12/19/2020,37203,2,2,two-shot
12/19/2020,37204,96,1,two-shot
12/19/2020,37204,4,2,two-shot
12/19/2020,37205,279,1,two-shot
12/19/2020,37205,4,2,two-shot
12/19/2020,37206,49,1,two-shot
12/19/2020,37206,2,2,two-shot
12/19/2020,37207,36,1,two-shot
12/19/2020,37208,60,1,two-shot
12/19/2020,37208,1,2,two-shot
12/19/2020,37209,159,1,two-shot
12/19/2020,37209,7,2,two-shot
12/19/2020,37210,15,1,two-shot
12/19/2020,37211,87,1,two-shot
12/19/2020,37211,2,2,two-shot
12/19/2020,37212,112,1,two-shot
12/19/2020,37214,32,1,two-shot
12/19/2020,37214,1,2,two-shot
12/19/2020,37215,162,1,two-shot
12/19/2020,37215,5,2,two-shot
12/19/2020,37216,30,1,two-shot
12/19/2020,37217,18,1,two-shot
12/19/2020,37218,9,1,two-shot
12/19/2020,37219,6,1,two-shot
12/19/2020,37220,32,1,two-shot
12/19/2020,37220,2,2,two-shot
12/19/2020,37221,143,1,two-shot
12/19/2020,37221,2,2,two-shot
12/19/2020,37228,4,1,two-shot
12/19/2020,,5,1,two-shot
12/20/2020,37013,33,1,two-shot
12/20/2020,37072,15,1,two-shot
12/20/2020,37076,26,1,two-shot
12/20/2020,37076,1,2,two-shot
12/20/2020,37080,3,1,two-shot
12/20/2020,37115,12,1,two-shot
12/20/2020,37138,10,1,two-shot
12/20/2020,37189,3,1,two-shot
12/20/2020,37201,3,1,two-shot
12/20/2020,37203,90,1,two-shot
12/20/2020,37204,47,1,two-shot
12/20/2020,37204,3,2,two-shot
12/20/2020,37205,58,1,two-shot
12/20/2020,37205,6,2,two-shot
12/20/2020,37206,51,1,two-shot
12/20/2020,37206,1,2,two-shot
12/20/2020,37207,20,1,two-shot
12/20/2020,37208,25,1,two-shot
12/20/2020,37208,1,2,two-shot
12/20/2020,37209,93,1,two-shot
12/20/2020,37209,1,2,two-shot
12/20/2020,37210,8,1,two-shot
12/20/2020,37211,50,1,two-shot
12/20/2020,37211,2,2,two-shot
12/20/2020,37212,63,1,two-shot
12/20/2020,37212,1,2,two-shot
12/20/2020,37214,16,1,two-shot
12/20/2020,37215,72,1,two-shot
12/20/2020,37215,1,2,two-shot
12/20/2020,37216,13,1,two-shot
12/20/2020,37217,4,1,two-shot
12/20/2020,37218,7,1,two-shot
12/20/2020,37219,4,1,two-shot
12/20/2020,37219,1,2,two-shot
12/20/2020,37220,13,1,two-shot
12/20/2020,37221,90,1,two-shot
12/20/2020,37221,3,2,two-shot
12/20/2020,37228,2,1,two-shot
12/20/2020,,3,1,two-shot
12/21/2020,37013,55,1,two-shot
12/21/2020,37072,18,1,two-shot
12/21/2020,37076,24,1,two-shot
12/21/2020,37080,2,1,two-shot
12/21/2020,37115,21,1,two-shot
12/21/2020,37138,25,1,two-shot
12/21/2020,37189,3,1,two-shot
12/21/2020,37201,2,1,two-shot
12/21/2020,37203,56,1,two-shot
12/21/2020,37203,1,2,two-shot
12/21/2020,37204,35,1,two-shot
12/21/2020,37205,147,1,two-shot
12/21/2020,37206,24,1,two-shot
12/21/2020,37207,13,1,two-shot
12/21/2020,37208,26,1,two-shot
12/21/2020,37208,2,2,two-shot
12/21/2020,37209,66,1,two-shot
12/21/2020,37209,2,2,two-shot
