income,antioch,ashland_city,brentwood,fairview,franklin,goodlettsville,37073,37075,37076,37080,37082,37086,37115,37122,37135,37138,37143,37189,37201,37203,37204,37205,37206,37207,37208,37209,37210,37211,37212,37213,37214,37215,37216,37217,37218,37219,37220,37221,37228
"less than $10,000",1424,421,460,119,771,534,233,743,698,112,90,215,813,648,56,331,80,52,62,1222,274,280,959,1493,1352,1366,1135,1449,417,0,497,243,320,510,683,39,8,483,93
"$10,000 to $14,999",1023,256,173,122,302,412,151,422,405,119,114,320,948,369,0,242,21,1,0,492,85,249,643,850,576,853,342,1148,249,0,358,179,198,472,339,0,18,408,59
"$15,000 to $19,999",1197,115,246,138,623,456,169,553,626,254,115,394,941,328,44,218,26,85,0,313,127,282,524,776,432,577,464,1226,324,0,581,236,455,453,331,0,47,494,203
"$20,000 to $24,999",1751,415,250,140,512,674,236,687,496,131,85,257,1147,507,18,348,56,51,0,348,164,170,694,991,498,666,679,1235,416,0,370,186,290,646,254,0,51,481,68
"$25,000 to $29,999",1647,365,254,123,609,687,290,682,946,188,72,483,1209,673,82,411,43,27,18,242,215,139,395,1017,371,775,397,1743,204,0,604,146,210,737,140,69,36,505,52
"$30,000 to $34,999",1685,452,250,124,630,506,325,986,740,107,67,396,997,441,45,299,72,41,0,245,227,402,432,897,450,653,331,1361,362,12,824,482,274,883,454,48,94,605,131
"$35,000 to $39,999",1748,350,316,121,721,518,282,1058,912,225,169,466,1102,581,232,312,54,72,0,233,276,183,496,970,310,468,355,1739,258,0,597,188,609,752,316,50,16,608,14
"$40,000 to $44,999",1937,277,538,216,495,568,184,948,662,101,52,690,847,652,48,675,54,29,41,318,218,317,372,810,288,928,258,1412,361,0,707,233,442,1061,275,0,38,772,14
"$45,000 to $49,999",1748,323,472,140,567,544,288,1011,918,92,62,579,1070,553,80,308,36,80,0,339,246,281,354,689,260,808,181,1408,167,0,711,341,484,895,290,0,59,604,26
"$50,000 to $59,999",3956,719,597,329,1479,1095,549,2052,1445,264,117,1010,1660,1170,154,689,164,113,37,938,231,607,950,923,604,1309,567,2717,580,0,1554,347,627,1200,451,13,167,1379,118
"$60,000 to $74,999",4510,903,1235,569,1784,1311,557,3003,2146,262,248,1692,1848,2073,432,1155,215,185,90,916,527,586,1087,1711,488,1591,563,3096,398,0,2011,595,699,1282,523,53,163,1714,180
"$75,000 to $99,999",5507,903,1861,645,2293,2186,698,3497,2648,384,439,1717,1966,3557,507,1535,282,281,104,1154,691,1444,1194,1733,831,1850,690,4370,781,10,2109,907,1000,1894,893,197,251,2719,23
"$100,000 to $124,999",3547,639,2167,468,2338,1120,620,2271,1709,263,218,1276,1039,2533,501,962,149,171,18,560,626,1297,1017,814,385,1402,379,2382,423,0,1417,753,1044,831,428,111,243,2599,15
"$125,000 to $149,999",1703,294,1688,342,2265,784,262,2203,1167,161,158,401,314,2159,565,678,163,144,0,338,468,704,653,718,279,879,223,1676,453,0,563,837,355,472,141,103,201,1286,25
"$150,000 to $199,999",1212,157,2837,286,2394,652,399,2004,1193,161,188,257,329,2600,855,687,77,99,89,340,488,981,1008,347,498,792,173,1382,651,0,620,1288,516,222,167,76,202,1587,13
" more than $200,000",1002,84,6606,158,3857,486,182,2155,678,188,132,392,280,2068,857,414,60,78,67,728,1099,2856,772,170,352,967,230,1106,913,0,371,3037,400,160,169,70,722,1715,17
